year,region,substance,study,mean,sd,citation
2016,China,HFC-125,"Yao et al., 2019",11.157,2.172,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-125,"Yao et al., 2019",10.781,1.118,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2022,China,HFC-125,"Hu et al., 2025",28.68421,3.42105,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2022,Northern China,HFC-125,"Hu et al., 2025",10.9,1.3,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2011,China,HFC-143a,"Yao et al., 2019",2.086,0.743,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-143a,"Yao et al., 2019",2.246,1.028,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-143a,"Yao et al., 2019",2.695,0.9,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2014,China,HFC-143a,"Yao et al., 2019",2.527,0.813,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2015,China,HFC-143a,"Yao et al., 2019",3.885,1.424,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2016,China,HFC-143a,"Yao et al., 2019",3.182,0.906,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2017,China,HFC-143a,"Yao et al., 2019",3.099,0.472,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2022,China,HFC-143a,"Hu et al., 2025",5.78947,0.78947,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2022,Northern China,HFC-143a,"Hu et al., 2025",2.2,0.3,"Hu, X. et al. Sustained Increases in Hydrofluorocarbon Emissions from China and Implications for Global Emissions. Environ. Sci. Technol. 59, 3024-3033 (2025)."
2011,China,HFC-152a,"Yao et al., 2019",4.8,0.7,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2012,China,HFC-152a,"Yao et al., 2019",4.1,0.9,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
2013,China,HFC-152a,"Yao et al., 2019",5,1.5,"Yao, B. et al. China's Hydrofluorocarbon Emissions for 2011-2017 Inferred from Atmospheric Measurements. Environ. Sci. Technol. Lett. 6, 479-486 (2019)."
